PCB Components:,,,,,,
Item,Qty,Description,Catalog Number,Link,Total Price,Notes
1,1,Diode, DA22F2100LCT-ND ,https://www.digikey.com/product-detail/en/panasonic-electronic-components/DA22F2100L/DA22F2100LCT-ND/2658952,0.5,
2,1,"Header, Male",SAM1035-45-ND,https://www.digikey.com/product-detail/en/samtec-inc/TSW-145-07-T-S/SAM1035-45-ND/1101579,2.15,
3,1,"Header, Female",SAM1087-40-ND,https://www.digikey.com/product-detail/en/samtec-inc/CES-140-01-T-S/SAM1087-40-ND/1104134,3.81,
4,1,DC Barrel Jack, CP-037A-ND ,https://www.digikey.com/product-detail/en/cui-inc/PJ-037A/CP-037A-ND/1644545,3.31,
5,1,Darlington NPN Transistor, MMBT6427LT1GOSCT-ND ,https://www.digikey.com/product-detail/en/on-semiconductor/MMBT6427LT1G/MMBT6427LT1GOSCT-ND/1139827,0.58,
6,1,1 x 3 Dip Switch,CT2193MST-ND,https://www.digikey.com/product-detail/en/cts-electrocomponents/219-3MST/CT2193MST-ND/223194,0.23,
7,8,LED,754-1933-1-ND,https://www.digikey.com/product-detail/en/kingbright/APT1608LVBC-D/754-1933-1-ND/5177463,0.68,
8,8,2.5k Ohm Resistor for non-power LED,P20326CT-ND,https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-PB3D2491V/P20326CT-ND/6214581,4.88,
9,2,150k Ohm Resistor for power LED,P150KDBCT-ND,https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERA-3AEB154V/P150KDBCT-ND/1466104,1.36,
10,1,PNP Transistor,BC857BWT1GOSCT-ND,https://www.digikey.com/product-detail/en/on-semiconductor/BC857BWT1G/BC857BWT1GOSCT-ND/2704965,0.7,
,,,,,0.15,
Off-board Components:,,,,,,
Item,Qty,Description,,,,
11,1,DC Power Adapter,364-1276-ND,https://www.digikey.com/product-detail/en/curtis-industries/L6R24-120/364-1276-ND/7682639,7.49,
12,1,Limit Switch,480-2309-ND,https://www.digikey.com/product-detail/en/honeywell-sensing-and-productivity-solutions/11SM1/480-2309-ND/1248460,11.17,
13,1,Mini Servo,1528-1076-ND,https://www.digikey.com/product-detail/en/adafruit-industries-llc/169/1528-1076-ND/5154651,5.95,
,,,,,,
,,,,TOTAL,42.96,
